alcaldia,colonia,superficie_km2_calculada,vocacion_principal,uso_suelo_num,consumo_total,consumo_total_dom,consumo_total_no_dom,bimestres_cubiertos,consumo_anualizado,pob,consumo_per_capita,consumo_per_capita_anualizado,densidad_poblacional,total_reportes,reportes_fuga,reportes_falta_agua,tiene_reportes_2019,idsm,e_idsm,latitud,longitud,cluster_perfil,consumo_esperado,exceso_consumo,es_anomalia,anomalia_score,diagnostico_final,poblacion_equivalente
MIGUEL HIDALGO,CHAPULTEPEC MORALES (POLANCO),0.589993281730828,Habitacional/Comercial,1,579934.47,310196.69,199587.25,3.0,1159868.94,6682.0,86.7905522298713,173.5811,11325.552691714414,35.0,0.0,35.0,True,0.97163277864456,Muy alto,19.4327036374,-99.1906881553,1,322246.6081412442,257687.86185875576,1,0.06908231361502148,NORMAL,772
CUAJIMALPA,CORREDOR SANTA FE,1.753454206636622,Habitacional/Corporativo,1,544084.4,306853.67,216263.42,3.0,1088168.8,10432.0,52.155329754601226,104.3107,5949.399739392156,45.0,0.0,45.0,True,0.97742861509323,Muy alto,19.3562703893,-99.2746966451,1,352349.89388436894,191734.50611563108,1,0.10447857296911589,NORMAL,574
CUAUHTEMOC,ROMA NORTE III,0.8616351011266065,Comercial/Servicios,1,529300.87,275627.24,161783.59,3.0,1058601.74,11206.0,47.23370248081385,94.4674,13005.505445806368,75.0,0.0,75.0,True,0.91261440515518,Alto,19.4118086649,-99.166413326,1,330267.024152344,199033.84584765602,1,0.13148650348573998,NORMAL,596
GUSTAVO A. MADERO,LINDAVISTA II,3.255606305730928,Habitacional/Industrial,1,523630.27,245368.85,249061.83,3.0,1047260.54,8598.0,60.90140381484066,121.8028,2640.9827210571248,37.0,0.0,37.0,True,0.93416965007782,Alto,19.4986078485,-99.1274474413,1,343958.6136794237,179671.65632057632,1,0.13115631790805554,NORMAL,538
BENITO JUAREZ,SAN PEDRO DE LOS  PINOS,0.9370009200558744,Habitacional/Comercial,1,523306.12,348287.49,144213.05,3.0,1046612.24,13201.0,39.64139989394743,79.2828,14088.566742509507,221.0,0.0,221.0,True,0.95705008506775,Muy alto,19.3855288494,-99.1871165955,1,339665.1623432734,183640.9576567266,1,0.13336460413340534,NORMAL,550
MIGUEL HIDALGO,ANZURES,0.8419052183296634,Habitacional/Comercial,1,501693.68,220828.97,249758.2,3.0,1003387.36,5233.0,95.871140836996,191.7423,6215.6640510938405,18.0,0.0,18.0,True,0.95855975151062,Muy alto,19.4299069097,-99.1794178052,1,330224.0063845034,171469.6736154966,1,0.0877705708894404,NORMAL,513
CUAUHTEMOC,ROMA NORTE I,0.7311762617439691,Comercial/Servicios,1,464302.45,178743.379,212209.81,3.0,928604.9,5668.0,81.91645201129147,163.8329,7751.892801444263,250.0,0.0,250.0,True,0.91237819194794,Alto,19.4178233346,-99.1741283414,1,323151.1577415918,141151.2922584082,1,0.11748291158237117,NORMAL,423
COYOACAN,DEL CARMEN,2.073774976724224,Habitacional/Comercial,1,463407.92,271523.06,162605.67,3.0,926815.84,8786.0,52.743901661734576,105.4878,4236.718110022978,120.0,0.0,120.0,True,0.9453387260437,Muy alto,19.3498372183,-99.1688174014,1,346004.347405921,117403.57259407896,1,0.13964639588879807,NORMAL,352
CUAUHTEMOC,SAN RAFAEL II,0.598407348610093,Comercial/Servicios,1,461236.87,314804.58,85016.1,3.0,922473.74,14742.0,31.287265635598967,62.5745,24635.39265391861,291.0,0.0,291.0,True,0.92380428314209,Alto,19.439054255,-99.1668489645,1,309980.9213201484,151255.9486798516,1,0.13844210203554463,NORMAL,453
MIGUEL HIDALGO,ANAHUAC II,0.8015875468786414,Habitacional/Comercial,1,460961.24,307009.92,103484.52,3.0,921922.48,17160.0,26.862543123543123,53.7251,21407.51820162444,128.0,0.0,128.0,True,0.87245279550552,Alto,19.4428468724,-99.17237087,1,325793.213001786,135168.02699821402,1,0.1240123031482192,NORMAL,405
MIGUEL HIDALGO,ANAHUAC I,0.676345607485902,Habitacional/Comercial,1,456400.33,360158.3,51870.22,3.0,912800.66,18045.0,25.29234303131061,50.5847,26680.14665915626,166.0,0.0,166.0,True,0.90031313896179,Alto,19.4444430521,-99.1722046613,1,315560.8740275362,140839.45597246382,1,0.11466571894639471,NORMAL,422
BENITO JUAREZ,STA CRUZ ATOYAC,1.001498683299349,Habitacional/Comercial,1,454631.07,263176.48,176451.35,3.0,909262.14,9632.0,47.20006955980067,94.4001,9617.586284056037,430.0,0.0,430.0,True,0.9429315328598,Muy alto,19.3704891607,-99.1617814968,1,336655.87757219456,117975.19242780545,1,0.14732346593839757,NORMAL,353
BENITO JUAREZ,DEL VALLE II,0.6702469462415043,Habitacional/Comercial,1,446809.53,316775.62,92059.66,3.0,893619.06,11092.0,40.28214298593581,80.5643,16549.124262631576,218.0,0.0,218.0,True,0.96142745018005,Muy alto,19.3931157929,-99.1633499949,1,323565.3763280149,123244.15367198514,1,0.13859709213450955,NORMAL,369
BENITO JUAREZ,DEL VALLE I,0.710405559022441,Habitacional/Comercial,1,441754.9,281433.7,135147.52,3.0,883509.8,10388.0,42.525500577589526,85.051,14622.63332271004,157.0,0.0,157.0,True,0.95667600631714,Muy alto,19.3979024165,-99.1621814067,1,326125.3335294825,115629.56647051754,1,0.14412958346714033,NORMAL,346
GUSTAVO A. MADERO,MAGDALENA DE LAS SALINAS,1.3296928117810254,Habitacional/Industrial,1,440823.13,23022.45,412009.36,3.0,881646.26,3279.0,134.43828301311376,268.8766,2465.9830984631867,56.0,0.0,56.0,True,0.83140957355499,Medio,19.4814897703,-99.1311741236,1,319311.5707823821,121511.5592176179,1,0.015866622564765342,NORMAL,364
MIGUEL HIDALGO,POLANCO REFORMA (POLANCO),0.7831204468950003,Habitacional/Comercial,1,438902.96,293670.2,129399.15,3.0,877805.92,5617.0,78.138322948193,156.2766,7172.587591437413,97.0,0.0,97.0,True,0.97566395998001,Muy alto,19.4331739366,-99.2014089064,1,330707.7962123978,108195.16378760221,1,0.10289436355223686,NORMAL,324
CUAJIMALPA,LOMAS DE VISTA HERMOSA,3.715331573589745,Habitacional/Corporativo,1,434802.38,332259.0,101985.25,3.0,869604.76,7761.0,56.02401494652751,112.048,2088.911809424681,49.0,0.0,49.0,True,0.8704628944397,Alto,19.3819683896,-99.2732700399,1,333743.59834000794,101058.78165999206,1,0.126008190939996,NORMAL,303
MIGUEL HIDALGO,ESCANDON II,0.7269558803324147,Habitacional/Comercial,1,431574.28,312798.98,77182.42,3.0,863148.56,16109.0,26.790879632503568,53.5818,22159.529121126096,216.0,0.0,216.0,True,0.91300696134567,Alto,19.4010824694,-99.1828023405,1,322777.7097115308,108796.5702884692,1,0.14115347873729217,NORMAL,326
CUAUHTEMOC,SANTA MARIA LA RIBERA IV,0.7541843939486909,Comercial/Servicios,1,429489.26,289078.29,70862.23,3.0,858978.52,14305.0,30.023716183152743,60.0474,18967.509954831028,181.0,0.0,181.0,True,0.92450940608978,Alto,19.4449345379,-99.1625597652,1,326173.86382097105,103315.39617902896,1,0.15455281174396113,NORMAL,309
ALVARO OBREGON,TIZAPAN_TIZAPAN SAN ANGEL,0.8518502653626292,Habitacional/Comercial,1,426239.16,225653.86,186790.05,3.0,852478.32,8300.0,51.35411566265061,102.7082,9743.496407161092,213.0,0.0,213.0,True,0.90842914581299,Alto,19.3415339741,-99.1949318222,1,327550.4597021043,98688.7002978957,1,0.14482395333178266,NORMAL,295
BENITO JUAREZ,DEL VALLE III,0.7168876319140699,Habitacional/Comercial,1,422891.04,305359.1,88470.97,3.0,845782.08,9190.0,46.01643525571273,92.0329,12819.30332019114,359.0,0.0,359.0,True,0.97058767080307,Muy alto,19.3873956629,-99.1735845157,1,327987.87833723676,94903.16166276322,1,0.13356586078548244,NORMAL,284
CUAUHTEMOC,ROMA NORTE II,0.7103501039614326,Comercial/Servicios,1,420606.42,199738.4,161173.15,3.0,841212.84,6571.0,64.00949931517273,128.019,9250.3681823305,71.0,0.0,71.0,True,0.9285334944725,Alto,19.4249111139,-99.1544932155,1,323926.8937523122,96679.52624768781,1,0.1464868435021906,NORMAL,289
