id,nombre,entidad,geo_point_2d,geo_shape,cve_alc,alcaldia,cve_col,secc_com,secc_par
0,LOMAS DE CHAPULTEPEC,9.0,"19.4228411174,-99.2157935754","{""type"": ""Polygon"", ""coordinates"": [[[-99.22017088373187, 19.428032506497445], [-99.2200897807236, 19.428069175217992], [-99.21951996031858, 19.428546640136656], [-99.21943853488403, 19.428598281818612], [-99.21903103559853, 19.428579445152984], [-99.21882735069474, 19.428618348198647], [-99.21843369222695, 19.428792780710907], [-99.21814198750202, 19.429031518970774], [-99.21797231818857, 19.42911548053486], [-99.21782298809192, 19.429173645913995], [-99.21748347716157, 19.429212710365032], [-99.21709625045924, 19.429363649993036], [-99.21699987389329, 19.42952084682926], [-99.21678560823798, 19.429697466807344], [-99.21639976599744, 19.429892379734834], [-99.21614722822716, 19.429965035029365], [-99.21595187836095, 19.43002857765224], [-99.21589222960067, 19.43003417013702], [-99.21533233206814, 19.430490970009934], [-99.21577686102736, 19.431050792545076], [-99.21565016213559, 19.431166248607536], [-99.21543842650041, 19.431359194980523], [-99.21482912877784, 19.43191442016071], [-99.21475324415816, 19.43198356994086], [-99.21355325144573, 19.432921071292313], [-99.21262306466085, 19.43304074677729], [-99.21252499292348, 19.433053364151906], [-99.2112436897411, 19.433218204586158], [-99.20998573538189, 19.43337633145333], [-99.20995073807774, 19.433379138531375], [-99.20992487132571, 19.433381213257967], [-99.20984572758707, 19.433387561214566], [-99.20985701230191, 19.433333061047115], [-99.20986070502826, 19.433315226808812], [-99.20987114496698, 19.433264806491735], [-99.20989226361121, 19.433162812623717], [-99.20974208333635, 19.432894021274112], [-99.20939891302329, 19.432162925335568], [-99.2091499708619, 19.43165328624622], [-99.20893586701037, 19.431411246018893], [-99.20886403999589, 19.431396986675104], [-99.20883983545731, 19.431392181500595], [-99.2088019339778, 19.43138465715166], [-99.20878260105152, 19.43138081910072], [-99.2087279924194, 19.43136997796144], [-99.20870446088898, 19.431365306375817], [-99.20858264149918, 19.43134112218761], [-99.20828459129577, 19.43129189712149], [-99.20772797620252, 19.43128218103323], [-99.20740039903467, 19.43115313267683], [-99.20650463368511, 19.430491508590148], [-99.20541765211247, 19.429643727427564], [-99.20425053116217, 19.428753970559363], [-99.20414344250997, 19.428655052117183], [-99.20346755349972, 19.42803072503796], [-99.20330530356165, 19.42790971093618], [-99.2032594985425, 19.427875547207478], [-99.20348619111121, 19.427753340582754], [-99.2035020942395, 19.42765704798313], [-99.20350569777126, 19.427635882823964], [-99.20350657818793, 19.427615228693558], [-99.20392682029414, 19.427428236810194], [-99.20399429206984, 19.427415650869573], [-99.20396023190135, 19.427304390386098], [-99.20365823876494, 19.426753080882108], [-99.20338033398455, 19.426130503571816], [-99.20357266494938, 19.42549789560067], [-99.2035515272376, 19.42535869305898], [-99.20358307590995, 19.424505620703975], [-99.2035917987842, 19.424028263767024], [-99.20369840905185, 19.42359499585048], [-99.20390278472674, 19.42310857953629], [-99.2042003323349, 19.422622058240446], [-99.20427052078067, 19.42254053027074], [-99.20439020191832, 19.42240151340547], [-99.20447425959813, 19.42252932050244], [-99.20496374762003, 19.423455364293595], [-99.2050470128245, 19.423432937517905], [-99.20545058314858, 19.42332423865114], [-99.20588464768451, 19.423323747082694], [-99.2062024712661, 19.423494139123438], [-99.20730861179815, 19.42258731860464], [-99.20753817448072, 19.42241265098334], [-99.20781379633134, 19.422318904323223], [-99.20896347619727, 19.421902221451237], [-99.21115010646004, 19.42113040562553], [-99.21149682919265, 19.42017700110692], [-99.21152955023449, 19.420095989048523], [-99.21185659746929, 19.41916129298247], [-99.21245203247753, 19.417628320932117], [-99.21266859840667, 19.417565779840935], [-99.21289816451709, 19.417403562983615], [-99.21319323442313, 19.41712915116232], [-99.21330577240997, 19.417003462125987], [-99.21327156512994, 19.41695050116911], [-99.21317054460783, 19.416794097275293], [-99.21376006228188, 19.416302617717506], [-99.2142412997031, 19.415960545428266], [-99.21455605511535, 19.415817080449724], [-99.21509800667455, 19.415606005104074], [-99.2155955981522, 19.41537637523376], [-99.21612236439067, 19.41504646673367], [-99.21659452132673, 19.414653492054054], [-99.21704684896297, 19.4141608795538], [-99.21763019831673, 19.413462559671913], [-99.21812190876706, 19.412969897306144], [-99.21857622821304, 19.412581056868465], [-99.21901360939218, 19.41280762840358], [-99.21987487673682, 19.413253775855324], [-99.22005504962813, 19.413347106876532], [-99.22090619600328, 19.41379675591916], [-99.2216480994593, 19.414188688102655], [-99.22227186339796, 19.41451820580451], [-99.22239376358793, 19.414633565772313], [-99.2229021213173, 19.414788629005475], [-99.22325677174032, 19.414793215666446], [-99.22338231645986, 19.414761489885443], [-99.22387586156543, 19.414636767600317], [-99.22494459393187, 19.414278875814485], [-99.22584570667524, 19.414077100828486], [-99.2268039301166, 19.41400931441729], [-99.22767879866076, 19.413947420218516], [-99.22847666760325, 19.413966397796734], [-99.229439830288, 19.41398930226644], [-99.22949124476258, 19.41382754665198], [-99.22969873216562, 19.413868388851935], [-99.22967474076427, 19.4140557307484], [-99.22947706545607, 19.414763410565627], [-99.22910680410006, 19.415876113594344], [-99.22909250356858, 19.415906540888557], [-99.22868974450921, 19.416763487756338], [-99.2282260448865, 19.41753822605382], [-99.2274374210956, 19.418622052344716], [-99.22680018516404, 19.419274937253864], [-99.22621493111316, 19.419843511710276], [-99.22572292113067, 19.42021677184273], [-99.22488385740631, 19.42084358901866], [-99.22470773801976, 19.420975156775903], [-99.22462668099644, 19.420969341993235], [-99.22454555898594, 19.420916206871166], [-99.22450808683463, 19.420868932810208], [-99.2244955121929, 19.42079205272882], [-99.22393502891354, 19.421248203332706], [-99.22364245051133, 19.42157389146849], [-99.22357728506017, 19.421669788007446], [-99.22317579566361, 19.422260611027053], [-99.22297070800738, 19.42273998176992], [-99.2227243500216, 19.423470383382124], [-99.22240263299697, 19.424424199063935], [-99.22221624378115, 19.42497679415788], [-99.22199882116814, 19.425559692108965], [-99.22181844816568, 19.425879324996565], [-99.22130477425122, 19.4264451080441], [-99.22086188681928, 19.426744109485647], [-99.22075704553897, 19.42679331932997], [-99.22051414641365, 19.426907329687634], [-99.22004721630712, 19.427052605087457], [-99.2194087549087, 19.42724783034399], [-99.21932853968889, 19.42728820045609], [-99.21918523368693, 19.42736032228451], [-99.21929108022093, 19.427549620800935], [-99.21940920822345, 19.427512105544828], [-99.21948819443142, 19.42766150027245], [-99.21964607519428, 19.42789177338963], [-99.21987606770418, 19.42804098519875], [-99.22017088373187, 19.428032506497445]]]}",16,MIGUEL HIDALGO,16-042,"4924, 4931, 4932, 4935, 4936, 4940, 4987","4923, 4937, 4938, 4939, 4942"
1,LOMAS DE REFORMA (LOMAS DE CHAPULTEPEC),9.0,"19.4106158914,-99.2262487268","{""type"": ""Polygon"", ""coordinates"": [[[-99.22967474076427, 19.4140557307484], [-99.22969873216562, 19.413868388851935], [-99.22949124476258, 19.41382754665198], [-99.229439830288, 19.41398930226644], [-99.22847666760325, 19.413966397796734], [-99.22767879866076, 19.413947420218516], [-99.2268039301166, 19.41400931441729], [-99.22584570667524, 19.414077100828486], [-99.22494459393187, 19.414278875814485], [-99.22387586156543, 19.414636767600317], [-99.22338231645986, 19.414761489885443], [-99.22325677174032, 19.414793215666446], [-99.2229021213173, 19.414788629005475], [-99.22239376358793, 19.414633565772313], [-99.22227186339796, 19.41451820580451], [-99.2216480994593, 19.414188688102655], [-99.22090619600328, 19.41379675591916], [-99.22005504962813, 19.413347106876532], [-99.22009129977444, 19.413293734234852], [-99.22060006861761, 19.412544647665644], [-99.22114197613878, 19.411746760218847], [-99.22197014292102, 19.410611351308603], [-99.22241036337975, 19.41001301318004], [-99.22263583726732, 19.40970655184302], [-99.22246631788518, 19.409615115549745], [-99.22271975986965, 19.409143969372085], [-99.223205455582, 19.408219299713753], [-99.2232952424389, 19.408003474546554], [-99.22358037229914, 19.4073180895678], [-99.22364861007152, 19.407154061134158], [-99.22381740228859, 19.4068888981863], [-99.22415301676243, 19.406604174486112], [-99.22422420965438, 19.406568916045998], [-99.22450507406954, 19.406429816891944], [-99.22463851149942, 19.40639555246679], [-99.22478020913933, 19.406359166839696], [-99.22506610458261, 19.406329777120227], [-99.2253133880427, 19.40637138203987], [-99.22615727833602, 19.406513362099474], [-99.22644132578084, 19.406541087493476], [-99.22650410111446, 19.406552238121915], [-99.22659406765034, 19.406568218616343], [-99.22730483846594, 19.406694469091704], [-99.22739722753754, 19.40667143383232], [-99.22757903918946, 19.406626102789478], [-99.22777216500819, 19.406534177477972], [-99.22794342637336, 19.406409746576763], [-99.22813332753094, 19.40624092919549], [-99.22837605184756, 19.40595374411877], [-99.22861022412567, 19.40566463299696], [-99.22881835668508, 19.40573433070526], [-99.22885566316884, 19.40569146153592], [-99.22923350441754, 19.40591974114665], [-99.22972558857347, 19.4061736139196], [-99.2307931396117, 19.40693574359992], [-99.23096572688554, 19.407050652608138], [-99.231004111965, 19.407099078878904], [-99.23100421462613, 19.40717179133459], [-99.2309151939032, 19.407444576661604], [-99.23087725339805, 19.407711237670824], [-99.2307945584884, 19.40794159921848], [-99.23067361479364, 19.408220484332123], [-99.2304823887496, 19.40847522098756], [-99.23003597081649, 19.408912062097837], [-99.2307400914608, 19.410074570503166], [-99.23082345437497, 19.410316839837286], [-99.23081105808541, 19.410583468305344], [-99.2307474777004, 19.410783508592594], [-99.23067097938456, 19.410880555798084], [-99.23057532219832, 19.410977627283835], [-99.23044779333419, 19.411117154801545], [-99.23040319189269, 19.411189923918634], [-99.23039032733377, 19.41123022276885], [-99.23036147043742, 19.411419096845048], [-99.23055731639198, 19.411795666363876], [-99.23063286462511, 19.411945339311725], [-99.23074305736272, 19.412177171462154], [-99.23073680781776, 19.412274129460677], [-99.2305140896614, 19.412843993757363], [-99.23048239707558, 19.413013696561446], [-99.23049532345776, 19.413122748974388], [-99.23057849968596, 19.413231712244976], [-99.23074471570051, 19.41335268878877], [-99.23095719875553, 19.413478400948968], [-99.23107883800833, 19.413612682605052], [-99.23113292408817, 19.413689434562432], [-99.23118027207228, 19.413772596806506], [-99.23124797032311, 19.41393255389068], [-99.23127519450604, 19.41409896420365], [-99.23130428672444, 19.414351355457793], [-99.23048383251819, 19.41420251440688], [-99.22967474076427, 19.4140557307484]]]}",16,MIGUEL HIDALGO,16-044,4963,4964
2,DEL BOSQUE (POLANCO),9.0,"19.4342189235,-99.2094037513","{""type"": ""Polygon"", ""coordinates"": [[[-99.2082100184801, 19.432815650005196], [-99.20813374072038, 19.432793132384475], [-99.20817229546417, 19.432715360722312], [-99.20825302373596, 19.43249672570727], [-99.20834123285519, 19.432189224156957], [-99.20858264149918, 19.43134112218761], [-99.20870446088898, 19.431365306375817], [-99.2087279924194, 19.431369977961445], [-99.20878260105152, 19.431380819100724], [-99.2088019339778, 19.431384657151668], [-99.20883983545731, 19.431392181500605], [-99.20886403999589, 19.431396986675104], [-99.20893586701037, 19.431411246018897], [-99.2091499708619, 19.43165328624622], [-99.20939891302329, 19.432162925335568], [-99.20974208333635, 19.432894021274112], [-99.20989226361121, 19.433162812623717], [-99.20987114496698, 19.433264806491735], [-99.20986070502825, 19.433315226808812], [-99.20985701230191, 19.433333061047115], [-99.20984572758707, 19.433387561214566], [-99.21033412403168, 19.433777041190226], [-99.2108093875697, 19.434169935250857], [-99.21134749918814, 19.434632643182457], [-99.21213499509999, 19.435358230190293], [-99.21225135720607, 19.4355560625897], [-99.21241776451087, 19.435786503639562], [-99.21185371834662, 19.43579533716505], [-99.21097667786519, 19.43577292840083], [-99.21009634263395, 19.43569776540578], [-99.20947471765311, 19.435670510856266], [-99.20874691204806, 19.43563457246659], [-99.20822100490011, 19.435608601814984], [-99.20822997789439, 19.43535732848192], [-99.20768720759386, 19.435313050082563], [-99.20743067324237, 19.435292121815355], [-99.20717940903013, 19.43526732657007], [-99.20754598421593, 19.434394881825515], [-99.20788637198997, 19.43358475385727], [-99.2082100184801, 19.432815650005196]]]}",16,MIGUEL HIDALGO,16-026,,"4918, 4919"
3,PEDREGAL DE SANTA URSULA I,9.0,"19.314862237,-99.1477954505","{""type"": ""Polygon"", ""coordinates"": [[[-99.14587387461441, 19.319786927215006], [-99.1457862739773, 19.319737223665282], [-99.14577224275352, 19.31971061336388], [-99.145622765086, 19.3196561708253], [-99.14357313803363, 19.31930257209839], [-99.1435506032156, 19.31929641393771], [-99.14329010949083, 19.31922537287811], [-99.14308757515356, 19.31916988008076], [-99.14312296219538, 19.319051555667553], [-99.14339269844139, 19.318135529460225], [-99.14317412131628, 19.318060838308163], [-99.14334231159322, 19.317591855515683], [-99.14357243228879, 19.31688258906775], [-99.14326859729717, 19.316795787528093], [-99.1434364085074, 19.31624365085245], [-99.14351947240891, 19.31626897688191], [-99.14366313188205, 19.315964321285815], [-99.14380478983095, 19.315943202356596], [-99.1439835454058, 19.315532232580967], [-99.14402170190544, 19.31543682515912], [-99.14400306934272, 19.315212800442833], [-99.14388778789043, 19.31497785187898], [-99.14392197310346, 19.31480412720953], [-99.14399903860057, 19.314713925586357], [-99.1444715024695, 19.314699255472426], [-99.1449826498547, 19.314825104970236], [-99.145074082023, 19.314678805003272], [-99.14537086190614, 19.313833579289973], [-99.1454491407469, 19.313610640521894], [-99.14556968209007, 19.31326733656226], [-99.14503162809048, 19.313114468678993], [-99.14520108207657, 19.3125411994732], [-99.1454532238418, 19.311829335835256], [-99.14547457502093, 19.311618468821997], [-99.14557375946315, 19.31151207011979], [-99.14588258328253, 19.310604327572676], [-99.14644845129058, 19.310766092281238], [-99.147081654821, 19.310950506818486], [-99.14669871539759, 19.311920634551402], [-99.14729075195315, 19.312114327817344], [-99.14784750438383, 19.312296222106358], [-99.14840425803489, 19.31247811468497], [-99.1489262763515, 19.31100138205998], [-99.14948475323104, 19.311179623729018], [-99.15003721079368, 19.31135594222296], [-99.1506694455844, 19.31155544477868], [-99.1511581003752, 19.31010090151297], [-99.15172189152084, 19.31027978507063], [-99.15228642308358, 19.31045890140989], [-99.15285683816373, 19.31063988231179], [-99.15233627893826, 19.312108671390934], [-99.15180607384293, 19.313557731582446], [-99.15129106132461, 19.315071877067226], [-99.15078314671557, 19.3164904105615], [-99.15032562844927, 19.31779141388615], [-99.15022384249386, 19.317800963516962], [-99.14998645517878, 19.317812023090532], [-99.14969491215086, 19.317825008916383], [-99.14961126987329, 19.31782890833321], [-99.14905527684436, 19.317854827841167], [-99.14899150932084, 19.31785780047262], [-99.14844380074447, 19.317875227722325], [-99.14837976690795, 19.317870495532034], [-99.1477793866034, 19.31780406357586], [-99.14715966412263, 19.317776410684164], [-99.14663722352046, 19.317753097004], [-99.14653994183493, 19.31774875568593], [-99.14614223072817, 19.317755306574902], [-99.1459672775452, 19.31774144818466], [-99.14581685622355, 19.317748990641732], [-99.145777337829, 19.317750972160585], [-99.14577613256017, 19.317773992413404], [-99.1457740459879, 19.317795205587846], [-99.14569589724562, 19.318589702332993], [-99.14570420351083, 19.318859038388414], [-99.14570543932498, 19.318899110381558], [-99.14575800318613, 19.31892888504874], [-99.14617394073429, 19.319063898102407], [-99.14621680670271, 19.319077554724444], [-99.14597714303547, 19.319767930647284], [-99.14587387461441, 19.319786927215006]]]}",3,COYOACAN,03-135,"433, 500, 431, 513, 501","424, 425, 426, 430, 499"
4,AJUSCO I,9.0,"19.324571116,-99.1561602234","{""type"": ""Polygon"", ""coordinates"": [[[-99.15854038211513, 19.330376399703336], [-99.15785336125897, 19.329938062567244], [-99.15744553204722, 19.330325053112208], [-99.1574146146464, 19.330302040955125], [-99.15682581934111, 19.329893340497634], [-99.15679104379336, 19.329869027767515], [-99.15716260749709, 19.32939381938534], [-99.15711949247279, 19.32935970011627], [-99.15647713794381, 19.328851367047466], [-99.15575836427169, 19.328282552525724], [-99.15561666427793, 19.32817009065556], [-99.15547496447786, 19.328057628672525], [-99.15476365529548, 19.327492999399652], [-99.15406574354358, 19.326939022086467], [-99.15335741107594, 19.32637378716079], [-99.15264908347422, 19.325808549415516], [-99.15198029330362, 19.32524570592452], [-99.15279884211682, 19.324300852345456], [-99.1533039825088, 19.323747998606947], [-99.153336302107, 19.3237126260668], [-99.15274463129876, 19.323395469935242], [-99.15240294604648, 19.323238956312817], [-99.15258507719459, 19.322941051464454], [-99.15286965065283, 19.322598764761846], [-99.15333114200645, 19.322043676149864], [-99.15299920685126, 19.321790025194904], [-99.15301155294587, 19.321762790236786], [-99.15314364943889, 19.321471390391107], [-99.15332304149858, 19.32120949712781], [-99.15286174560372, 19.320838587040306], [-99.152839395655, 19.320820616243], [-99.1523435705133, 19.32046060059729], [-99.15229341159444, 19.320424180344425], [-99.15190705087474, 19.320759903034983], [-99.15188424904767, 19.320786328752177], [-99.15184283810177, 19.320854466194888], [-99.15179965054053, 19.320896570908598], [-99.15132351062127, 19.320675897479298], [-99.15130125816995, 19.320709483705482], [-99.15046405506162, 19.32197308502986], [-99.15041990134152, 19.32194941094124], [-99.15027227133618, 19.32187030722072], [-99.15015977129224, 19.321809966442245], [-99.15001970794815, 19.32173484158972], [-99.14999361327175, 19.32172084534056], [-99.14985130011272, 19.321954481330696], [-99.14945858382528, 19.321772342236574], [-99.14922563648156, 19.321670067420783], [-99.14998806825167, 19.32058995348941], [-99.15025642971415, 19.32020976981682], [-99.15033885209692, 19.320069956888627], [-99.15113878480645, 19.31996422600656], [-99.15194066863151, 19.319831032136253], [-99.15280985968758, 19.319686654231845], [-99.1535291288886, 19.319570830085798], [-99.15376139128428, 19.31953342815892], [-99.15419703459186, 19.319463274336357], [-99.15441916366353, 19.319427503356813], [-99.15487270361953, 19.319354465795683], [-99.15558609511793, 19.319239579625155], [-99.15612563276646, 19.31915268931142], [-99.15526910422868, 19.32010655841669], [-99.15600638722776, 19.320695713994812], [-99.15669512273482, 19.321246069181008], [-99.15738242619203, 19.321860549315147], [-99.15804943163144, 19.32243101926508], [-99.1587341778491, 19.322994233659475], [-99.15942972650657, 19.323565547227133], [-99.15958808088476, 19.323695616279167], [-99.15972367186879, 19.32380698766859], [-99.1604151875524, 19.32437497916769], [-99.16110670800981, 19.324942967975193], [-99.16178498882093, 19.325500075812585], [-99.1605269386816, 19.326937653312605], [-99.15918765094115, 19.32844671603754], [-99.15964080397713, 19.32881154425872], [-99.1593109999952, 19.32928248480923], [-99.15903765728403, 19.32967279951006], [-99.15874397871147, 19.330095441860646], [-99.15854038211513, 19.330376399703336]]]}",3,COYOACAN,03-128,"376, 377, 378, 379, 404, 493,  498",374
5,VISTAS DEL MAUREL (U HAB),9.0,"19.3053003722,-99.1734305912","{""type"": ""Polygon"", ""coordinates"": [[[-99.17469119580265, 19.305747725601574], [-99.17469748207654, 19.30583428648561], [-99.17480684589546, 19.305914652954943], [-99.17415462629343, 19.306107082358366], [-99.1740867580118, 19.305967585538063], [-99.17400528590825, 19.30600595690579], [-99.17395787399907, 19.306028286730218], [-99.1729574212301, 19.30649964372423], [-99.17282500283643, 19.30627492183218], [-99.17208017015308, 19.304907420233295], [-99.17338075630731, 19.304275498122756], [-99.17385204079663, 19.304036665921632], [-99.17428772631435, 19.304879315740983], [-99.1743948515611, 19.305083856894157], [-99.17467391888584, 19.305702462774082], [-99.17469119580265, 19.305747725601574]]]}",3,COYOACAN,03-124,477,
6,IGNACIO ZARAGOZA I,9.0,"19.4131119713,-99.0946992338","{""type"": ""Polygon"", ""coordinates"": [[[-99.0993876075984, 19.421746098159897], [-99.09642164553078, 19.420111670421562], [-99.09628486651695, 19.420037751286287], [-99.096077670131, 19.419925776344], [-99.09615546965867, 19.41979015179031], [-99.0962732278258, 19.419587827953947], [-99.09630145462599, 19.41953904834578], [-99.09635959032967, 19.419438582128766], [-99.09683708498767, 19.418580091668407], [-99.09728757850262, 19.41774933059234], [-99.09773806745505, 19.416918568342886], [-99.0973685542411, 19.41671181329099], [-99.09699371149257, 19.416502074875776], [-99.09666972642032, 19.416320792153197], [-99.09630351477475, 19.41611588077232], [-99.09595419491686, 19.41592041990978], [-99.09560987417582, 19.415727755166788], [-99.09525325386335, 19.41552820702269], [-99.0949281293549, 19.41534628142558], [-99.09489663441897, 19.41532865817043], [-99.09458425807061, 19.415134219658814], [-99.09461663612568, 19.41505906598511], [-99.09466150536159, 19.414954918533272], [-99.09429403286252, 19.41474148990764], [-99.09394291803095, 19.41453756061983], [-99.09359175317849, 19.414333943628133], [-99.09327283391973, 19.414152600441476], [-99.09292582407478, 19.413955283346617], [-99.09257653105041, 19.413756666831045], [-99.09223180689094, 19.41356064714529], [-99.09190293270373, 19.413373639138207], [-99.09158064290196, 19.413186835337218], [-99.09085125746087, 19.41277561725009], [-99.09026647544371, 19.412443083765822], [-99.08975546904949, 19.41215249977184], [-99.08922843122947, 19.411852796899097], [-99.08863343927975, 19.411514448372277], [-99.08856306902108, 19.411473644930403], [-99.0885010086567, 19.411440877270046], [-99.08901379688538, 19.410533021556127], [-99.08950438037431, 19.40966446695791], [-99.08957906774097, 19.409707323187828], [-99.08965375514666, 19.40975017938668], [-99.09019499230557, 19.410060743768874], [-99.09072040739214, 19.409103599414333], [-99.09101502635747, 19.408589058153293], [-99.0911655333535, 19.408612080079777], [-99.09117807547226, 19.408576590653606], [-99.09119946903479, 19.408516054970185], [-99.09121276119964, 19.408478443151548], [-99.09189532178154, 19.408568162391834], [-99.09201643235143, 19.40857741798196], [-99.09272609977471, 19.408675194994128], [-99.09307284434912, 19.408721305774737], [-99.09376834061965, 19.408813792172236], [-99.09396547959103, 19.40884102633978], [-99.09437881015916, 19.40889812601445], [-99.0962508777844, 19.409155355153754], [-99.09646858322371, 19.409164739633475], [-99.09703446449457, 19.409189131465588], [-99.09703558624156, 19.409366191952603], [-99.09707518018958, 19.40956446733319], [-99.0971820165971, 19.409864941605466], [-99.09734305358819, 19.410385152090353], [-99.09745992847235, 19.410867227194267], [-99.09749117811693, 19.411152535325378], [-99.09751058304623, 19.41139639308079], [-99.09750197089177, 19.411529164668217], [-99.09749336564352, 19.411661829574356], [-99.09751195996664, 19.411784226285903], [-99.09753384586092, 19.41192981214239], [-99.0975413751253, 19.411979897052408], [-99.09754665132547, 19.41201499448764], [-99.09755164647095, 19.412047540492196], [-99.0975827160142, 19.412249974634832], [-99.09766914536563, 19.412818888040984], [-99.09777083940294, 19.413484805949864], [-99.09786512622784, 19.414101767076705], [-99.09789934926852, 19.414370137202486], [-99.09790171979988, 19.41438872639373], [-99.0979285146894, 19.414598845782702], [-99.09796639261079, 19.414728399136237], [-99.09807313489942, 19.41537248168472], [-99.09814805575779, 19.41582025800391], [-99.09816496652248, 19.415921038237617], [-99.09815215927091, 19.416123443694772], [-99.09810053994929, 19.416282937087946], [-99.0978164044298, 19.41677988668699], [-99.0979557222054, 19.416853463408554], [-99.09799465892678, 19.416874026699645], [-99.09801363108596, 19.41688404628595], [-99.09820758895495, 19.416926874552182], [-99.09856389570763, 19.41686505032417], [-99.09856256950376, 19.416922858135422], [-99.09856260060488, 19.416958784238147], [-99.09856093023105, 19.41699431223236], [-99.09856141785708, 19.417055516014983], [-99.0986076362778, 19.417328285889326], [-99.09862097360835, 19.417406999393837], [-99.09877329597023, 19.41831409868894], [-99.09893470663712, 19.41930903541232], [-99.09901472475455, 19.41984866866894], [-99.09914785233217, 19.420796295214522], [-99.09922168389369, 19.421087048675435], [-99.09924827351507, 19.421191760057404], [-99.099332327889, 19.421526169318348], [-99.09937131526297, 19.421671308566278], [-99.0993876075984, 19.421746098159897]]]}",17,VENUSTIANO CARRANZA,17-074,"5486, 5487, 5493, 5488, 5491, 5489, 5490, 5483, 5484",5480
7,CENTRO II,9.0,"19.4257144309,-99.1226597674","{""type"": ""Polygon"", ""coordinates"": [[[-99.12511135172929, 19.429198982524387], [-99.12460353604152, 19.429140802650622], [-99.12377891732739, 19.429095974164298], [-99.12291221173399, 19.42894336365533], [-99.12230165536033, 19.428858794439574], [-99.12231044190247, 19.428812446073845], [-99.12234406694893, 19.428558033991543], [-99.12236770556815, 19.428377583079623], [-99.12239134413635, 19.42819713216133], [-99.12240003780937, 19.428071503048965], [-99.12241131854839, 19.4279906631183], [-99.12166276354867, 19.42789218260851], [-99.12166519125037, 19.427989700638193], [-99.12166873197887, 19.42813192745905], [-99.12159706590256, 19.42880243284413], [-99.12131019945339, 19.428834450138943], [-99.1210382237859, 19.429015791571913], [-99.12086644513717, 19.42912460195648], [-99.12059433480218, 19.429124782895894], [-99.12021980204273, 19.429079424758665], [-99.11958589216077, 19.429034741132803], [-99.11954512364044, 19.42903186900236], [-99.11935215822436, 19.429018274519066], [-99.1192375263857, 19.4290101985664], [-99.11917501452604, 19.429005798160276], [-99.11935118189655, 19.427850724829455], [-99.11936771864197, 19.427742297819375], [-99.11940286297416, 19.427603432484897], [-99.119620473712, 19.426838606845823], [-99.11983324411226, 19.425583312918647], [-99.11984524811375, 19.425512491634816], [-99.11985401275984, 19.425460781881377], [-99.1199707808324, 19.424771869215967], [-99.120069504277, 19.424164441655027], [-99.1202122939816, 19.42328587433436], [-99.12028647133107, 19.42281190421785], [-99.12034159357749, 19.422459688482686], [-99.12035513621765, 19.422290433457455], [-99.1203621939008, 19.42220189806852], [-99.12036925157658, 19.422113362678477], [-99.12043724600714, 19.422124397604204], [-99.12048879361343, 19.422132764187833], [-99.12051357562193, 19.42213678649802], [-99.12058487932642, 19.422148359616546], [-99.12062725022973, 19.422153338487416], [-99.12114743996698, 19.422205866354588], [-99.12158986191874, 19.42225686865413], [-99.12241080319998, 19.42235424964694], [-99.12295154407634, 19.422419172680705], [-99.12407235371083, 19.422553650497463], [-99.12609109908855, 19.42281743313811], [-99.12605654695481, 19.422882086446695], [-99.12602148588923, 19.422947217590114], [-99.12596117428208, 19.423059660285457], [-99.12590037486336, 19.42349054331625], [-99.12585665440723, 19.42380038702955], [-99.12578765572972, 19.424366379664132], [-99.12566582197721, 19.425365766252728], [-99.12565878973592, 19.425423450453533], [-99.12564579019457, 19.425530083229045], [-99.12564019871299, 19.42557472246845], [-99.12563279063671, 19.425636716002458], [-99.12562859729897, 19.425666506219], [-99.12559842616437, 19.425880847002414], [-99.12551237800713, 19.42649214442087], [-99.12550433136732, 19.42655614604991], [-99.12546751645631, 19.426810844968774], [-99.12534511377926, 19.427683244998285], [-99.12523658444829, 19.42834895206092], [-99.12517667696076, 19.428755581635098], [-99.12511135172929, 19.429198982524387]]]}",17,VENUSTIANO CARRANZA,17-073,"5261, 5264, 5265, 5266",5263
