alcaldia,colonia,superficie_km2_calculada,vocacion_principal,uso_suelo_num,consumo_total,consumo_total_dom,consumo_total_no_dom,bimestres_cubiertos,consumo_anualizado,pob,consumo_per_capita,consumo_per_capita_anualizado,densidad_poblacional,total_reportes,reportes_fuga,reportes_falta_agua,tiene_reportes_2019,idsm,e_idsm,latitud,longitud
MAGDALENA CONTRERAS,HEROES DE PADIERNA,0.4010615683339109,Habitacional/Reserva,0,187605.12,79952.35,100684.59,3.0,375210.24,4616.0,40.64235701906412,81.2847,11509.45481806142,25.0,0.0,25.0,True,0.85220390558243,Medio,19.3118822699,-99.2239087429
COYOACAN,COPILCO EL BAJO,0.18269992363223905,Habitacional/Comercial,1,181966.03,157441.45,21114.7,3.0,363932.06,3806.0,47.810307409353655,95.6206,20831.97367756533,9.0,0.0,9.0,True,0.92960637807846,Alto,19.3392023512,-99.1881366674
VENUSTIANO CARRANZA,JARDIN BALBUENA III,1.4412811417675417,Habitacional/Comercial,1,180803.28,136941.23,27915.85,3.0,361606.56,13451.0,13.441623671102521,26.8832,9332.669116522346,241.0,0.0,241.0,True,0.93502187728882,Alto,19.4121541191,-99.112380006
AZCAPOTZALCO,DEL RECREO,0.524876046818779,Industrial/Comercial,2,179120.97,147345.05,14318.4,3.0,358241.94,9416.0,19.02304269328802,38.0461,17939.473628239335,88.0,0.0,88.0,True,0.91467791795731,Alto,19.4706617742,-99.1801670549
CUAJIMALPA,LAS TINAJAS,0.7136040722369607,Habitacional/Corporativo,1,176969.6,115645.68,60313.27,3.0,353939.2,2070.0,85.49256038647343,170.9851,2900.7681998101493,80.0,0.0,80.0,True,0.79848337173462,Medio,19.3519706038,-99.2852175751
COYOACAN,INTEGRACION LATINOAMERICANA (U HAB),0.1374943093714952,Habitacional/Comercial,1,174148.19999999998,165551.8,8596.33,3.0,348296.4,3255.0,53.50175115207373,107.0035,23673.707041978963,9.0,0.0,9.0,True,0.95158404111862,Muy alto,19.3382608527,-99.1787786404
XOCHIMILCO,SANTA MARIA TEPEPAN (PBLO),2.0216669897312927,Habitacional/Rural,0,173857.4,106959.66,53076.35,3.0,347714.8,14851.0,11.706780688169147,23.4136,7345.918034687751,164.0,0.0,164.0,True,0.82625257968903,Medio,19.2791489934,-99.1367255089
COYOACAN,INSURGENTES CUICUILCO,0.5863540434504572,Habitacional/Comercial,1,172258.19,116021.38,56236.9,3.0,344516.38,3379.0,50.97904409588636,101.9581,5762.729937216681,115.0,0.0,115.0,True,0.9762070775032,Muy alto,19.3048741178,-99.1827579516
IZTAPALAPA,LOMAS ESTRELLA 2A SECC II,0.8022488849108488,Habitacional/Industrial,1,166122.16,151775.38,8765.35,3.0,332244.32,12057.0,13.778067512648255,27.5561,15029.001880557122,48.0,0.0,48.0,True,0.93929654359818,Muy alto,19.3207314799,-99.0964417072
IZTAPALAPA,SECTOR POPULAR,0.5591044838510835,Habitacional/Industrial,1,154738.7,114144.81,15459.33,3.0,309477.4,9839.0,15.727075922349833,31.4542,17597.784106880103,43.0,0.0,43.0,True,0.85909956693649,Medio,19.3686729562,-99.1193970303
IZTAPALAPA,JUAN ESCUTIA I,0.6212896711746155,Habitacional/Industrial,1,153509.74,104978.2,20022.9,3.0,307019.48,9661.0,15.889632543214987,31.7793,15549.912461500979,9.0,0.0,9.0,True,0.78379625082016,Medio,19.3995850022,-99.0574447031
IZTAPALAPA,LOMAS ESTRELLA 2A SECC I,0.4538540377505729,Habitacional/Industrial,1,148881.71,127129.26000000001,18493.53,3.0,297763.42,10369.0,14.358347960266178,28.7167,22846.552277890165,45.0,0.0,45.0,True,0.91118723154068,Alto,19.3185378331,-99.0911470428
CUAJIMALPA,SAN JOSE DE LOS CEDROS II,0.6689672904909266,Habitacional/Corporativo,1,142484.3,84062.01,39994.1,3.0,284968.6,6908.0,20.62598436595252,41.252,10326.364380133613,26.0,0.0,26.0,True,0.80903381109238,Medio,19.3693744041,-99.2866160115
TLALPAN,GRANJAS COAPA,0.40018049255062116,Habitacional/Reserva,0,141490.66,116431.15000000001,21230.82,3.0,282981.32,4720.0,29.976834745762712,59.9537,11794.67787126815,16.0,0.0,16.0,True,0.95847177505493,Muy alto,19.2911258609,-99.1147300808
TLALPAN,FUENTES DEL PEDREGAL,2.054114118414326,Habitacional/Reserva,0,133109.83,53588.62,79521.22,3.0,266219.66,3775.0,35.26088211920529,70.5218,1837.7752074038185,80.0,0.0,80.0,True,0.94065147638321,Muy alto,19.3054583278,-99.2215010044
TLALPAN,FUENTES BROTANTES MIGUEL HIDALGO (U HAB),0.46931975243583124,Habitacional/Reserva,0,128032.03,122530.01999999999,5501.969999999999,3.0,256064.06,6387.0,20.04572256145295,40.0914,13609.058572222093,94.0,0.0,94.0,True,0.93505835533142,Alto,19.2859998246,-99.1820039257
CUAJIMALPA,PALO ALTO (GRANJAS),0.5837913416340692,Habitacional/Corporativo,1,126604.08,36329.73,86915.34,3.0,253208.16,2641.0,47.93793260128739,95.8759,4523.876617641626,89.0,0.0,89.0,True,0.70449578762054,Muy bajo,19.3862392772,-99.2506230594
TLALPAN,VERGEL DE COYOACAN-VERGEL DEL SUR,0.5501365037595722,Habitacional/Reserva,0,120776.9,9101.94,111674.95999999999,3.0,241553.8,2172.0,55.606307550644566,111.2126,3948.1110327287706,55.0,0.0,55.0,True,0.97087156772614,Muy alto,19.3045671852,-99.1363989649
XOCHIMILCO,XALTOCAN (BARR),1.4576278388467636,Habitacional/Rural,0,118341.44,52216.51,43281.08,3.0,236682.88,10612.0,11.151662269129288,22.3033,7280.321984242516,81.0,0.0,81.0,True,0.77594709396362,Bajo,19.2569579216,-99.1020598671
CUAJIMALPA,EL CONTADERO,3.4619030196553715,Habitacional/Corporativo,1,110574.85,94327.39,13497.26,3.0,221149.7,7861.0,14.066257473603867,28.1325,2270.7164109936716,151.0,0.0,151.0,True,0.82779633998871,Medio,19.3451031159,-99.2985991907
CUAJIMALPA,LOMAS DEL CHAMIZAL,1.1509657196488419,Habitacional/Corporativo,1,108592.29,83669.84,12920.24,3.0,217184.58,4820.0,22.529520746887965,45.059,4187.787627133304,56.0,0.0,56.0,True,0.81271713972092,Medio,19.3902479323,-99.2648081589
TLALPAN,NIO JESUS (BARR),0.25948342677322683,Habitacional/Reserva,0,107256.52,53299.04,50493.85,3.0,214513.04,2312.0,46.391228373702425,92.7825,8910.010279849399,60.0,0.0,60.0,True,0.0,Sin dato,19.2879300938,-99.1605409584
XOCHIMILCO,SANTIAGO TULYEHUALCO (PBLO),2.784315080877113,Habitacional/Rural,0,98127.39,60536.68,16561.77,3.0,196254.78,22662.0,4.330041037860736,8.6601,8139.165051988668,329.0,0.0,329.0,True,0.7389497756958,Bajo,19.2514202173,-99.007731405
XOCHIMILCO,LA NORIA TEPEPAN,0.3199382074354439,Habitacional/Rural,0,81204.19,59337.86,18899.23,3.0,162408.38,3199.0,25.384241950609567,50.7685,9998.805787037749,31.0,0.0,31.0,True,0.92039674520493,Alto,19.268988038,-99.1304277293
XOCHIMILCO,LA NORIA,0.4472127701717104,Habitacional/Rural,0,80430.6,63549.38,16068.51,3.0,160861.2,1200.0,67.02550000000001,134.051,2683.2865249783717,5.0,0.0,5.0,True,0.95369970798492,Muy alto,19.2626446217,-99.1228755373
TLAHUAC,LAS ARBOLEDAS,0.5965304269424156,Habitacional/Rural,0,80191.62,64553.799999999996,8935.69,3.0,160383.24,11548.0,6.94419986144787,13.8884,19358.610187229817,212.0,0.0,212.0,True,0.81659340858459,Medio,19.3051539637,-99.0588847109
TLAHUAC,DEL MAR SUR,1.2636571850431546,Habitacional/Rural,0,78780.36,58725.32,10615.07,3.0,157560.72,15251.0,5.165586518916792,10.3312,12068.937826265887,48.0,0.0,48.0,True,0.76936537027359,Bajo,19.2867833283,-99.0572271272
XOCHIMILCO,SAN MARCOS (AMPL),11.802138917035196,Habitacional/Rural,0,78648.68000000001,19803.95,54338.590000000004,3.0,157297.36,17225.0,4.565961103047896,9.1319,1459.4812110826329,32.0,0.0,32.0,True,0.65734100341797,Muy bajo,19.2832886134,-99.1038343791
XOCHIMILCO,SAN MATEO XALPA (PBLO),1.7905185481504073,Habitacional/Rural,0,77883.3,18615.77,51336.3,3.0,155766.6,10398.0,7.490219272937104,14.9804,5807.256233531375,23.0,0.0,23.0,True,0.73870897293091,Bajo,19.2339641742,-99.1214956071
TLAHUAC,LOS OLIVOS,0.7308036792151762,Habitacional/Rural,0,73337.47,58314.3,9977.03,3.0,146674.94,8893.0,8.246651298774317,16.4933,12168.794784326154,59.0,0.0,59.0,True,0.75747883319855,Bajo,19.2976486931,-99.0583375987
MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),8.365749585419117,Rural/Reserva,0,70917.61,43832.46,10653.15,3.0,141835.22,30097.0,2.3563016247466524,4.7126,3597.645338614587,36.0,0.0,36.0,True,0.6939502954483,Muy bajo,19.2164908759,-98.9901920077
XOCHIMILCO,POTRERO DE SAN BERNARDINO,0.5420451346229567,Habitacional/Rural,0,65659.61,32442.1,30386.730000000003,3.0,131319.22,2219.0,29.589729607931503,59.1795,4093.755036734207,11.0,0.0,11.0,True,0.88577151298523,Alto,19.2675638513,-99.1207614363
XOCHIMILCO,SANTA CRUZ XOCHITEPEC (PBLO),2.306393805172509,Habitacional/Rural,0,65486.34,51963.69,6232.04,3.0,130972.68,13709.0,4.776886716755416,9.5538,5943.911212931229,91.0,0.0,91.0,True,0.77298253774643,Bajo,19.2583967614,-99.1275813426
MAGDALENA CONTRERAS,SAN FRANCISCO (BARR),0.5976423885259021,Habitacional/Reserva,0,62929.75,59837.53,1694.24,3.0,125859.5,4898.0,12.848050224581462,25.6961,8195.536484754743,25.0,0.0,25.0,True,0.87457978725433,Alto,19.3146785553,-99.2350373319
XOCHIMILCO,SAN GREGORIO ATLAPULCO (PBLO),11.267669298072946,Habitacional/Rural,0,60831.28,38662.66,7102.6,3.0,121662.56,29831.0,2.039196808688948,4.0784,2647.486291162437,66.0,0.0,66.0,True,0.67319470643997,Muy bajo,19.2577640923,-99.0642833882
TLAHUAC,VILLA CENTROAMERICANA (U HAB),0.449765010657851,Habitacional/Rural,0,57936.729999999996,47326.57,10610.16,3.0,115873.46,6624.0,8.746487016908212,17.493,14727.6907785943,26.0,0.0,26.0,True,0.9042107462883,Alto,19.2841426161,-99.0553221072
TLAHUAC,VILLAS DE LOS TRABAJADORES (GDF) (U HAB),0.20176813080721664,Habitacional/Rural,0,56638.8,56372.39,266.44,3.0,113277.6,3655.0,15.496251709986321,30.9925,18114.852853011966,3.0,0.0,3.0,True,0.91443467140198,Alto,19.2803825457,-99.0533799657
